outer_postcode,region,lat,long
WC2A,WCA,51.51623394,-0.114205581
LE55,LE,52.632799,-1.125337
CT5,CT,51.35345247,1.034920285
GU52,GU,51.26350961,-0.838860791
CA10,CA,54.6114518,-2.658515072
BD20,BD,53.89824717,-1.949702534
PO1,PO,50.79950826,-1.089664559
WR12,WR,52.04118479,-1.87080781
IP31,IP,52.29345953,0.835433309
TW17,TW,51.39821539,-0.44763535
CH6,CH,53.2493925,-3.144663748
EH49,EH,55.97594174,-3.597859922
LL36,LL,52.60419458,-4.064542353
NE70,NE,55.59369929,-1.817170764
FK2,FK,56.00471266,-3.755761977
KW5,KW,58.28722267,-3.382792083
DE11,DE,52.77272448,-1.556563814
PE19,PE,52.23588087,-0.263835722
IP12,IP,52.09335874,1.369786923
TF10,TF,52.76941055,-2.386864893
RH16,RH,51.00143627,-0.09835745
EC1Y,ECY,51.52304983,-0.09242488
LE3,LE,52.63152466,-1.177376636
L22,L,53.47722871,-3.027951259
UB6,UB,51.5389749,-0.340594706
TA17,TA,50.90813309,-2.83687
KT11,KT,51.32826238,-0.402795455
MK13,MK,52.0532849,-0.782507407
N2,N,51.59007719,-0.169284532
WF9,WF,53.60633459,-1.32107059
NR18,NR,52.57076108,1.10787815
M41,M,53.45097903,-2.365573262
BT27,BT,54.50918922,-6.023685443
WR7,WR,52.19660437,-2.049217453
EN9,EN,51.69611807,0.015000279
WS14,WS,52.66416934,-1.815960959
BD19,BD,53.72733282,-1.714113414
BS15,BS,51.45960384,-2.50687342
SA62,SA,51.84099345,-5.063626585
G2,G,55.86287257,-4.256358335
PO35,PO,50.68686199,-1.08560208
SK4,SK,53.419514,-2.181838272
ME12,ME,51.42231422,0.804328993
DL5,DL,54.61771387,-1.578318592
LA19,LA,54.29674196,-3.380225571
EH23,EH,55.83944345,-3.050922612
CT9,CT,51.38344321,1.389354534
WV15,WV,52.51617586,-2.374675223
LS1,LS,53.79757684,-1.551855874
B40,B,52.45691185,-1.722578692
KT20,KT,51.28634777,-0.231148241
LL77,LL,53.2606686,-4.312622508
SA43,SA,52.08728018,-4.628170283
B19,B,52.49714279,-1.905773131
B93,B,52.38047288,-1.74389232
SA64,SA,52.00202016,-5.012538827
WR14,WR,52.11441049,-2.320433013
WD23,WD,51.64521802,-0.3579721
LN7,LN,53.49318896,-0.344655872
RM11,RM,51.57106104,0.218523658
ST55,ST,53.01391265,-2.23640995
CB5,CB,52.21232608,0.153568769
BS25,BS,51.31984638,-2.820349996
BD4,BD,53.77631937,-1.718795788
EC4P,ECP,51.52456604,-0.112028979
LE4,LE,52.66457884,-1.124794913
BT41,BT,54.73239336,-6.257749324
PL14,PL,50.46398254,-4.466156424
GU20,GU,51.36874985,-0.657912531
G69,G,55.87544649,-4.101121106
TN28,TN,50.98278342,0.950940069
AB56,AB,57.67436883,-2.928869876
OX10,OX,51.60728869,-1.128828135
PH5,PH,56.32844879,-3.829892535
LA14,LA,54.11824937,-3.23121671
HP9,HP,51.61030418,-0.640722029
FK11,FK,56.14989631,-3.851718533
CV1,CV,52.40940134,-1.506213236
PH36,PH,56.72227897,-5.8516326
ST11,ST,52.96597127,-2.064983482
LS15,LS,53.80556828,-1.445160416
NR24,NR,52.8588055,1.050383053
EN5,EN,51.64995488,-0.197600675
HS8,HS,57.23524083,-7.347063253
PE32,PE,52.72786102,0.635368394
B75,B,52.5787621,-1.808519856
ML8,ML,55.7313452,-3.842696605
SG4,SG,51.92062677,-0.259537843
DN35,DN,53.55455449,-0.036345145
LL35,LL,52.54678971,-4.0413787
HA9,HA,51.56091478,-0.285816895
GU23,GU,51.29413965,-0.505831629
NE66,NE,55.42855507,-1.730386826
BL8,BL,53.60480165,-2.327558823
KY15,KY,56.29922834,-3.054693722
DT4,DT,50.60956789,-2.465483548
SK14,SK,53.45204674,-2.056545402
DE7,DE,52.97340564,-1.323198966
S74,S,53.50097222,-1.441191594
G13,G,55.89363655,-4.347753701
GU22,GU,51.3121373,-0.55176622
CT6,CT,51.36443168,1.129619869
BD3,BD,53.79848898,-1.72668348
BS27,BS,51.27219456,-2.771778644
CV21,CV,52.37684974,-1.25054256
BD98,BD,53.8168055,-1.76532575
DG2,DG,55.06467027,-3.658768454
BN25,BN,50.77655503,0.108319364
PL20,PL,50.5000421,-4.100206394
BS6,BS,51.47077519,-2.600417847
CW2,CW,53.07985884,-2.446618678
EC3N,ECN,51.5119286,-0.076978881
L19,L,53.35895438,-2.903296278
TQ11,TQ,50.48231077,-3.785077449
M38,M,53.53243539,-2.423306875
W1A,WA,51.52437573,-0.112794969
EH5,EH,55.97598497,-3.222156536
BT71,BT,54.51313212,-6.704165158
RH13,RH,51.03393897,-0.328016333
CV8,CV,52.35202323,-1.542159906
PL23,PL,50.33748041,-4.636534593
M14,M,53.44844712,-2.225850396
NE44,NE,54.94274178,-1.978145612
GL4,GL,51.84073254,-2.218828168
AB35,AB,57.03833944,-3.150184542
SA46,SA,52.23777665,-4.257459667
CH48,CH,53.37016373,-3.169384794
DL98,DL,54.52751344,-1.559701
L18,L,53.3805792,-2.9082954
EH46,EH,55.74047624,-3.356716324
W13,W,51.51300753,-0.321175607
S25,S,53.36581386,-1.216945776
ML9,ML,55.72449418,-3.967524523
PA71,PA,56.48069425,-5.98150425
LE2,LE,52.60735308,-1.116967133
B72,B,52.55024829,-1.822022797
BD24,BD,54.08026024,-2.28407429
BH20,BH,50.68706774,-2.149138994
TS23,TS,54.60942107,-1.285160981
CH63,CH,53.34430613,-3.012472728
FK5,FK,56.02725517,-3.822453468
CV12,CV,52.47898636,-1.472389995
WF12,WF,53.6832624,-1.619967696
EX39,EX,51.01538131,-4.246035446
IV19,IV,57.80394081,-4.062912262
NE1,NE,54.97246431,-1.611571374
W1B,WB,51.51438066,-0.140982869
LL32,LL,53.25804003,-3.84118214
RM14,RM,51.55697733,0.264124556
DT10,DT,50.93743128,-2.334158369
CM17,CM,51.77281711,0.146452296
PA49,PA,55.7822835,-6.394827333
TN20,TN,51.0167857,0.250366243
PH39,PH,56.91232185,-5.841740923
DD2,DD,56.47029878,-3.031808608
BS26,BS,51.27900109,-2.856386323
TN31,TN,50.96295189,0.685730587
CM11,CM,51.62363557,0.445915995
BB3,BB,53.69801827,-2.466355316
TA14,TA,50.94676749,-2.751511791
BT62,BT,54.41169209,-6.466031407
CM3,CM,51.72085535,0.584306478
NE26,NE,55.05286492,-1.45768754
CT2,CT,51.29364755,1.079882299
EX32,EX,51.07185909,-4.020212789
WS4,WS,52.60687122,-1.95871122
RG14,RG,51.39949441,-1.323278126
HU6,HU,53.78101325,-0.371360418
IG2,IG,51.57601914,0.08150234
TW13,TW,51.43899466,-0.4019296
WA12,WA,53.45340164,-2.633302792
M44,M,53.44075827,-2.427142002
YO16,YO,54.09565767,-0.202049618
LL70,LL,53.3639133,-4.2880204
TS13,TS,54.54970039,-0.854218805
BS23,BS,51.34308677,-2.971937803
EX38,EX,50.94389475,-4.15216693
G73,G,55.81942767,-4.206842523
CV5,CV,52.41242343,-1.555369037
BN50,BN,50.82633068,-0.140802511
WC1X,WCX,51.52671899,-0.115140934
CH29,CH,53.39016544,-3.179430563
SL3,SL,51.4987476,-0.551645931
N21,N,51.63672767,-0.099693179
TA16,TA,50.90947991,-2.7937542
TD6,TD,55.581943,-2.693301473
NP10,NP,51.5779678,-3.047754113
SK16,SK,53.47463288,-2.082728397
NE42,NE,54.96197811,-1.854930478
E11,E,51.56875539,0.013606637
BT64,BT,54.44904077,-6.39004131
NW2,NW,51.55813094,-0.22028118
S72,S,53.57866689,-1.39115319
B76,B,52.54347328,-1.78278508
DT6,DT,50.7392035,-2.775549311
PH6,PH,56.37182115,-3.998343739
S2,S,53.36953668,-1.448019957
LL60,LL,53.21547337,-4.275128873
LS22,LS,53.93177304,-1.395830511
AB36,AB,57.19727479,-3.068706872
NE11,NE,54.93989844,-1.635817869
CH5,CH,53.20383772,-3.042535564
LL44,LL,52.790895,-4.097182365
NE35,NE,54.9510106,-1.460640237
MK2,MK,51.9905322,-0.725223749
G34,G,55.86791181,-4.112109275
CF64,CF,51.43330201,-3.191736953
PH1,PH,56.42244552,-3.47920904
OX27,OX,51.93659099,-1.15053416
BB1,BB,53.75678176,-2.462978334
L13,L,53.41847553,-2.920429872
BT25,BT,54.39605326,-6.114321778
FK3,FK,56.01074948,-3.720850295
KA20,KA,55.64140411,-4.751050969
HA5,HA,51.59497019,-0.386295314
WV3,WV,52.57905028,-2.156520836
HP1,HP,51.75655873,-0.487524034
SW14,SW,51.46539662,-0.266983167
BT22,BT,54.50170289,-5.514687925
BR7,BR,51.41488366,0.064665947
HX5,HX,53.68459519,-1.835296836
BS4,BS,51.43530808,-2.563432492
LS6,LS,53.82009078,-1.570698427
EH13,EH,55.90677718,-3.242951696
E10,E,51.56797042,-0.014401682
DE13,DE,52.80761112,-1.693338768
TD14,TD,55.8674868,-2.12458837
IV5,IV,57.46849179,-4.410825128
EC2V,ECV,51.51561674,-0.093926101
TW6,TW,51.47093744,-0.448298213
WS9,WS,52.60994343,-1.918464829
CM7,CM,51.89734797,0.537365231
FY1,FY,53.8152598,-3.047052843
IV54,IV,57.43036734,-5.619746424
TS19,TS,54.57722315,-1.343635726
L8,L,53.38993575,-2.963650029
CH64,CH,53.28818403,-3.0477542
KA23,KA,55.69346623,-4.8575752
G66,G,55.94051252,-4.153897111
L74,L,53.3930533,-2.988282926
CF83,CF,51.58667412,-3.218778874
WV8,WV,52.62590658,-2.187663669
PR5,PR,53.73153034,-2.65783949
EC1N,ECN,51.51989725,-0.108836916
DA14,DA,51.42501346,0.111754205
TA23,TA,51.16252385,-3.352737488
PA1,PA,55.84464121,-4.417368971
EH37,EH,55.86134045,-2.959816681
CM24,CM,51.89912217,0.204098491
NE83,NE,54.934641,-1.615103
TQ1,TQ,50.47301652,-3.523515872
NR5,NR,52.64073519,1.228710969
DE99,DE,52.914939,-1.465616
M60,M,53.48446523,-2.234776824
YO23,YO,53.92347793,-1.123388527
BH21,BH,50.81270065,-1.974552545
UB3,UB,51.50527606,-0.424596156
SO51,SO,50.99582562,-1.503805505
EH14,EH,55.90892228,-3.285900619
PO18,PO,50.86515874,-0.815392991
EH3,EH,55.95218509,-3.206313486
NG34,NG,52.98721899,-0.393727429
WF16,WF,53.71018374,-1.668799619
